,text,sentence,word,wordFreq,zipfFreq,surpGPT,word_length,wordId
0,text_10_L1,1,Der,0.0288,7.46,3.388126850128174,3,1
1,text_10_L1,1,Imker,2.09e-06,3.32,9.516945838928223,5,2
2,text_10_L1,1,beschäftigt,6.31e-05,4.8,9.107853889465332,11,3
3,text_10_L1,1,sich,0.00617,6.79,0.055439483374357224,4,4
4,text_10_L1,1,mit,0.00955,6.98,0.6910315752029419,3,5
5,text_10_L1,1,der,0.0288,7.46,0.42480912804603577,3,6
6,text_10_L1,1,"Haltung,",3.24e-05,4.51,4.338654518127441,8,7
7,text_10_L1,1,Vermehrung,2.04e-06,3.31,4.072422981262207,10,8
8,text_10_L1,1,und,0.0263,7.42,0.00029976642690598965,3,9
9,text_10_L1,1,Züchtung,1.02e-06,3.01,4.034296989440918,8,10
10,text_10_L1,1,von,0.00977,6.99,1.0419247150421143,3,11
11,text_10_L1,1,Honigbienen,4.9e-07,2.69,1.8313809633255005,11,12
12,text_10_L1,1,sowie,0.00049,5.69,0.0032431883737444878,5,13
13,text_10_L1,1,mit,0.00955,6.98,0.29649817943573,3,14
14,text_10_L1,1,der,0.0288,7.46,0.2864348590373993,3,15
15,text_10_L1,1,Produktion,4.79e-05,4.68,0.00301133724860847,10,16
16,text_10_L1,1,von,0.00977,6.99,0.16917750239372253,3,17
17,text_10_L1,1,Honig,1.12e-05,4.05,1.7048205137252808,5,18
18,text_10_L1,1,und,0.0263,7.42,0.12656047940254211,3,19
19,text_10_L1,1,weiterer,4.79e-05,4.68,3.31312894821167,8,20
20,text_10_L1,1,Bienenprodukte.,2.51e-08,1.4,1.1675795316696167,15,21
21,text_10_L1,2,Wirtschaftlich,1.66e-05,4.22,11.034524917602539,14,22
22,text_10_L1,2,relevanter,1.62e-06,3.21,8.412774085998535,10,23
23,text_10_L1,2,ist,0.012,7.08,7.836019515991211,3,24
24,text_10_L1,2,heute,0.000759,5.88,0.5767542719841003,5,25
25,text_10_L1,2,die,0.0302,7.48,3.967538833618164,3,26
26,text_10_L1,2,Bestäubungsleistung,1.62e-08,1.21,12.88033390045166,19,27
27,text_10_L1,2,der,0.0288,7.46,1.216251015663147,3,28
28,text_10_L1,2,Honigbienen,4.9e-07,2.69,1.5152157545089722,11,29
29,text_10_L1,2,in,0.0174,7.24,0.5806947350502014,2,30
30,text_10_L1,2,der,0.0288,7.46,1.3027822971343994,3,31
31,text_10_L1,2,Landwirtschaft,2.82e-05,4.45,0.07538595050573349,14,32
32,text_10_L1,2,als,0.00513,6.71,1.2158900499343872,3,33
33,text_10_L1,2,Nebenprodukt,7.94e-07,2.9,6.443306922912598,12,34
34,text_10_L1,2,der,0.0288,7.46,1.2239845991134644,3,35
35,text_10_L1,2,Imkerei.,9.33e-07,2.97,2.3995859622955322,8,36
36,text_10_L1,3,Ein,0.00813,6.91,4.3480916023254395,3,37
37,text_10_L1,3,Imker,2.09e-06,3.32,10.092474937438965,5,38
38,text_10_L1,3,braucht,0.000178,5.25,6.446806907653809,7,39
39,text_10_L1,3,keine,0.00145,6.16,4.120532512664795,5,40
40,text_10_L1,3,spezielle,2.09e-05,4.32,4.575563430786133,9,41
41,text_10_L1,3,"Ausbildung,",9.77e-05,4.99,1.8905142545700073,11,42
42,text_10_L1,3,in,0.0174,7.24,0.8730354309082031,2,43
43,text_10_L1,3,den,0.01,7.0,6.611353874206543,3,44
44,text_10_L1,3,deutschsprachigen,1.12e-05,4.05,2.5032896995544434,17,45
45,text_10_L1,3,Ländern,8.13e-05,4.91,8.711292266845703,7,46
46,text_10_L1,3,absolvieren,6.92e-06,3.84,0.4531496465206146,11,47
47,text_10_L1,3,aber,0.00427,6.63,9.119422912597656,4,48
48,text_10_L1,3,die,0.0302,7.48,3.455152750015259,3,49
49,text_10_L1,3,meisten,0.000178,5.25,2.1657299995422363,7,50
50,text_10_L1,3,Neu-Imker,2.07e-06,3.32,10.925897598266602,9,51
51,text_10_L1,3,einen,0.00302,6.48,8.504172325134277,5,52
52,text_10_L1,3,Grundkurs.,1.17e-06,3.07,2.426452398300171,10,53
53,text_10_L1,4,Vom,0.00126,6.1,6.517327785491943,3,54
54,text_10_L1,4,Imker,2.09e-06,3.32,10.762927055358887,5,55
55,text_10_L1,4,zu,0.0102,7.01,5.836987495422363,2,56
56,text_10_L1,4,unterscheiden,3.31e-05,4.52,8.956257820129395,13,57
57,text_10_L1,4,ist,0.012,7.08,0.6184672117233276,3,58
58,text_10_L1,4,der,0.0288,7.46,0.8504643440246582,3,59
59,text_10_L1,4,"Zeidler,",4.9e-07,2.69,7.878910541534424,8,60
60,text_10_L1,4,der,0.0288,7.46,0.7548404932022095,3,61
61,text_10_L1,4,den,0.01,7.0,0.00025293012731708586,3,62
62,text_10_L1,4,Honig,1.12e-05,4.05,6.853119850158691,5,63
63,text_10_L1,4,wild,3.16e-05,4.5,0.15597951412200928,4,64
64,text_10_L1,4,lebender,2.51e-06,3.4,4.636898040771484,8,65
65,text_10_L1,4,Honigbienen-Völker,4.72e-07,2.67,12.840649604797363,18,66
66,text_10_L1,4,im,0.00724,6.86,0.75079345703125,2,67
67,text_10_L1,4,Wald,6.46e-05,4.81,0.00012373158824630082,4,68
68,text_10_L1,4,sammelt.,9.55e-06,3.98,0.34894639253616333,8,69
69,text_10_L1,5,Der,0.0288,7.46,3.388126850128174,3,70
70,text_10_L1,5,Imker,2.09e-06,3.32,9.516945838928223,5,71
71,text_10_L1,5,hält,0.000135,5.13,7.733180046081543,4,72
72,text_10_L1,5,seine,0.00107,6.03,1.5125173330307007,5,73
73,text_10_L1,5,Bienenvölker,3.55e-07,2.55,1.5431745052337646,12,74
74,text_10_L1,5,in,0.0174,7.24,1.1417369842529297,2,75
75,text_10_L1,5,künstlichen,5.89e-06,3.77,1.3084675073623657,11,76
76,text_10_L1,5,"Nisthöhlen,",4.57e-08,1.66,8.468793869018555,11,77
77,text_10_L1,5,den,0.01,7.0,4.531416893005371,3,78
78,text_10_L1,5,"Bienenstöcken,",1.02e-07,2.01,6.111079216003418,14,79
79,text_10_L1,5,in,0.0174,7.24,1.1660348176956177,2,80
80,text_10_L1,5,denen,0.000372,5.57,2.9260470867156982,5,81
81,text_10_L1,5,Brutnest,3.63e-08,1.56,13.88791275024414,8,82
82,text_10_L1,5,und,0.0263,7.42,1.7237015962600708,3,83
83,text_10_L1,5,Honigvorräte,0.0,0.0,8.278485298156738,12,84
84,text_10_L1,5,vor,0.00204,6.31,1.551558494567871,3,85
85,text_10_L1,5,Witterungseinflüssen,1.58e-07,2.2,3.6002323627471924,20,86
86,text_10_L1,5,und,0.0263,7.42,0.7256386876106262,3,87
87,text_10_L1,5,den,0.01,7.0,7.124697685241699,3,88
88,text_10_L1,5,Räubereien,3.31e-08,1.52,9.79430866241455,10,89
89,text_10_L1,5,anderer,0.0001,5.0,0.91989666223526,7,90
90,text_10_L1,5,Tiere,7.08e-05,4.85,1.9220486879348755,5,91
