,text,surpGPT
0,text_10_L1,3.3461831775661928
1,text_10_L2,8.442254703292168
2,text_11_L1,4.662845312993671
3,text_11_L2,9.920054453028548
4,text_12_L1,3.672202726043987
5,text_12_L2,7.5445701153615135
6,text_13_L1,4.060371555229207
7,text_1_L1,5.797934324694814
8,text_1_L2,7.660928083948562
9,text_2_L1,4.809740956511144
10,text_2_L2,6.409940689714224
11,text_3_L1,5.2785110914833515
12,text_3_L2,7.832785277837404
13,text_4_L1,4.020159790665153
14,text_4_L2,8.555830889128837
15,text_5_L1,4.673446835357878
16,text_5_L2,6.9815514560746035
17,text_6_L1,5.618082212101284
18,text_6_L2,8.181797740791918
19,text_7_L1,4.926601013591391
20,text_7_L2,7.6434387410719555
21,text_8_L1,4.183758286416088
22,text_8_L2,8.694650575059072
23,text_9_L1,4.849426370705692
24,text_9_L2,8.815277132884193
