text,Text_Length,prop_content_words,prop_function_words,left_dependencies,right_dependencies,dependency_length,surpGPT
text_10_L1,171,0.51,0.49,0.41,0.54,3.36,3.3461831775661928
text_11_L1,180,0.59,0.41,0.44,0.49,3.29,4.662845312993671
text_12_L1,171,0.56,0.44,0.48,0.48,3.27,3.672202726043987
text_13_L1,160,0.54,0.46,0.49,0.46,3.52,4.060371555229207
text_1_L1,154,0.59,0.41,0.45,0.5,2.84,5.797934324694814
text_2_L1,173,0.52,0.48,0.38,0.59,3.63,4.809740956511144
text_3_L1,158,0.56,0.44,0.44,0.51,3.01,5.278511091483352
text_4_L1,188,0.54,0.46,0.43,0.52,3.49,4.020159790665153
text_5_L1,180,0.52,0.48,0.46,0.49,3.01,4.673446835357878
text_6_L1,151,0.59,0.41,0.48,0.46,3.63,5.618082212101284
text_7_L1,149,0.54,0.46,0.43,0.51,2.93,4.926601013591391
text_8_L1,198,0.57,0.43,0.55,0.37,2.76,4.183758286416088
text_9_L1,130,0.52,0.48,0.44,0.5,4.45,4.849426370705692
text_10_L2,123,0.6,0.4,0.5,0.44,3.09,8.442254703292168
text_11_L2,116,0.55,0.45,0.48,0.47,2.62,9.920054453028548
text_12_L2,146,0.62,0.38,0.42,0.57,2.91,7.5445701153615135
text_1_L2,160,0.55,0.45,0.38,0.59,3.12,7.660928083948562
text_2_L2,98,0.51,0.49,0.52,0.43,1.99,6.409940689714224
text_3_L2,107,0.54,0.46,0.5,0.48,3.64,7.832785277837404
text_4_L2,142,0.61,0.39,0.42,0.54,2.77,8.555830889128837
text_5_L2,185,0.56,0.44,0.48,0.49,3.46,6.981551456074604
text_6_L2,147,0.59,0.41,0.46,0.49,2.44,8.181797740791918
text_7_L2,173,0.51,0.49,0.45,0.51,2.94,7.6434387410719555
text_8_L2,133,0.54,0.46,0.48,0.48,2.62,8.694650575059072
text_9_L2,115,0.5,0.5,0.54,0.41,2.35,8.815277132884193
